"","no","id","l1","l2","l3","l4","l5","slope","pow"
"1",1,1,0,0,0,0,0,0.52,0
"2",2,1,0,0,0,0,0,1.04,0
"3",3,1,0,0,0,0,0,2.08,0
"4",4,1,0,0,0,0,0,5.2,0
"5",5,1,0,0,0,0,0,10.4,0
"6",6,1,0,0,0,0,0,20.8,0
"7",7,1,0,0,0,0,0,41.6,0
"8",1,1,0,0,0,0,0,0.52,0
"9",2,1,0,0,0,0,0,1.04,0
"10",3,1,0,0,0,0,0,2.08,0
"11",4,1,0,0,0,0,0,5.2,0
"12",5,1,0,0,0,0,0,10.4,0
"13",6,1,0,0,0,0,0,20.8,0
"14",7,1,0,0,0,0,0,41.6,0
"15",1,1,0,0,0,0,0,0.52,0
"16",2,1,0,0,0,0,0,1.04,0
"17",3,1,0,0,0,0,0,2.08,0
"18",4,1,0,0,0,0,0,5.2,0
"19",5,1,0,0,0,0,0,10.4,0
"20",6,1,0,0,0,0,0,20.8,0
"21",7,1,0,0,0,0,0,41.6,0
"22",1,1,0,0,0,0,0,0.52,0
"23",2,1,0,0,0,0,0,1.04,0
"24",3,1,0,0,0,0,0,2.08,0
"25",4,1,0,0,0,0,0,5.2,0
"26",5,1,0,0,0,0,0,10.4,0
"27",6,1,0,0,0,0,0,20.8,0
"28",7,1,0,0,0,0,0,41.6,0
"29",1,1,0,0,0,0,0,0.52,0
"30",2,1,0,0,0,0,0,1.04,0
"31",3,1,0,0,0,0,0,2.08,0
"32",4,1,0,0,0,0,0,5.2,0
"33",5,1,0,0,0,0,0,10.4,0
"34",6,1,0,0,0,0,0,20.8,0
"35",7,1,0,0,0,0,0,41.6,0
"36",1,1,0,0,0,0,0,0.52,0
"37",2,1,0,0,0,0,0,1.04,0
"38",3,1,0,0,0,0,0,2.08,0
"39",4,1,0,0,0,0,0,5.2,0
"40",5,1,0,0,0,0,0,10.4,0
"41",6,1,0,0,0,0,0,20.8,0
"42",7,1,0,0,0,0,0,41.6,0
"43",1,1,0,0,0,0,0,0.52,0
"44",2,1,0,0,0,0,0,1.04,0
"45",3,1,0,0,0,0,0,2.08,0
"46",4,1,0,0,0,0,0,5.2,0
"47",5,1,0,0,0,0,0,10.4,0
"48",6,1,0,0,0,0,0,20.8,0
"49",7,1,0,0,0,0,0,41.6,0
"50",1,1,0,0,0,0,0,0.52,0
"51",2,1,0,0,0,0,0,1.04,0
"52",3,1,0,0,0,0,0,2.08,0
"53",4,1,0,0,0,0,0,5.2,0
"54",5,1,0,0,0,0,0,10.4,0
"55",6,1,0,0,0,0,0,20.8,0
"56",7,1,0,0,0,0,0,41.6,0
"57",1,1,0,0,0,0,0,0.52,0
"58",2,1,0,0,0,0,0,1.04,0
"59",3,1,0,0,0,0,0,2.08,0
"60",4,1,0,0,0,0,0,5.2,0
"61",5,1,0,0,0,0,0,10.4,0
"62",6,1,0,0,0,0,0,20.8,0
"63",7,1,0,0,0,0,0,41.6,0
"64",1,1,0,0,0,0,0,0.52,0
"65",2,1,0,0,0,0,0,1.04,0
"66",3,1,0,0,0,0,0,2.08,0
"67",4,1,0,0,0,0,0,5.2,0
"68",5,1,0,0,0,0,0,10.4,0
"69",6,1,0,0,0,0,0,20.8,0
"70",7,1,0,0,0,0,0,41.6,0
"71",1,1,0,0,0,0,0,0.52,0
"72",2,1,0,0,0,0,0,1.04,0
"73",3,1,0,0,0,0,0,2.08,0
"74",4,1,0,0,0,0,0,5.2,0
"75",5,1,0,0,0,0,0,10.4,0
"76",6,1,0,0,0,0,0,20.8,0
"77",7,1,0,0,0,0,0,41.6,0
"78",1,1,0,0,0,0,0,0.52,0
"79",2,1,0,0,0,0,0,1.04,0
"80",3,1,0,0,0,0,0,2.08,0
"81",4,1,0,0,0,0,0,5.2,0
"82",5,1,0,0,0,0,0,10.4,0
"83",6,1,0,0,0,0,0,20.8,0
"84",7,1,0,0,0,0,0,41.6,0
"85",1,1,0,0,0,0,0,0.52,0
"86",2,1,0,0,0,0,0,1.04,0
"87",3,1,0,0,0,0,0,2.08,0
"88",4,1,0,0,0,0,0,5.2,0
"89",5,1,0,0,0,0,0,10.4,0
"90",6,1,0,0,0,0,0,20.8,0
"91",7,1,0,0,0,0,0,41.6,0
"92",1,1,0,0,0,0,0,0.52,0
"93",2,1,0,0,0,0,0,1.04,0
"94",3,1,0,0,0,0,0,2.08,0
"95",4,1,0,0,0,0,0,5.2,0
"96",5,1,0,0,0,0,0,10.4,0
"97",6,1,0,0,0,0,0,20.8,0
"98",7,1,0,0,0,0,0,41.6,0
"99",1,1,0,0,0,0,0,0.52,0
"100",2,1,0,0,0,0,0,1.04,0
"101",3,1,0,0,0,0,0,2.08,0
"102",4,1,0,0,0,0,0,5.2,0
"103",5,1,0,0,0,0,0,10.4,0
"104",6,1,0,0,0,0,0,20.8,0
"105",7,1,0,0,0,0,0,41.6,0
"106",1,2,0,0,0,0,0,0.52,0
"107",2,2,0,0,0,0,0,1.04,0
"108",3,2,0,0,0,0,0,2.08,0
"109",4,2,0,0,0,0,0,5.2,0
"110",5,2,0,0,0,0,0,10.4,0
"111",6,2,0,0,0,0,0,20.8,0
"112",7,2,0,0,0,0,0,41.6,0
"113",1,2,0,0,0,0,0,0.52,0
"114",2,2,0,0,0,0,0,1.04,0
"115",3,2,0,0,0,0,0,2.08,0
"116",4,2,0,0,0,0,0,5.2,0
"117",5,2,0,0,0,0,0,10.4,0
"118",6,2,0,0,0,0,0,20.8,0
"119",7,2,0,0,0,0,0,41.6,0
"120",1,2,0,0,0,0,0,0.52,0
"121",2,2,0,0,0,0,0,1.04,0
"122",3,2,0,0,0,0,0,2.08,0
"123",4,2,0,0,0,0,0,5.2,0
"124",5,2,0,0,0,0,0,10.4,0
"125",6,2,0,0,0,0,0,20.8,0
"126",7,2,0,0,0,0,0,41.6,0
"127",1,2,0,0,0,0,0,0.52,0
"128",2,2,0,0,0,0,0,1.04,0
"129",3,2,0,0,0,0,0,2.08,0
"130",4,2,0,0,0,0,0,5.2,0
"131",5,2,0,0,0,0,0,10.4,0
"132",6,2,0,0,0,0,0,20.8,0
"133",7,2,0,0,0,0,0,41.6,0
"134",1,2,0,0,0,0,0,0.52,0
"135",2,2,0,0,0,0,0,1.04,0
"136",3,2,0,0,0,0,0,2.08,0
"137",4,2,0,0,0,0,0,5.2,0
"138",5,2,0,0,0,0,0,10.4,0
"139",6,2,0,0,0,0,0,20.8,0
"140",7,2,0,0,0,0,0,41.6,0
"141",1,2,0,0,0,0,0,0.52,0
"142",2,2,0,0,0,0,0,1.04,0
"143",3,2,0,0,0,0,0,2.08,0
"144",4,2,0,0,0,0,0,5.2,0
"145",5,2,0,0,0,0,0,10.4,0
"146",6,2,0,0,0,0,0,20.8,0
"147",7,2,0,0,0,0,0,41.6,0
"148",1,2,0,0,0,0,0,0.52,0
"149",2,2,0,0,0,0,0,1.04,0
"150",3,2,0,0,0,0,0,2.08,0
"151",4,2,0,0,0,0,0,5.2,0
"152",5,2,0,0,0,0,0,10.4,0
"153",6,2,0,0,0,0,0,20.8,0
"154",7,2,0,0,0,0,0,41.6,0
"155",1,2,0,0,0,0,0,0.52,0
"156",2,2,0,0,0,0,0,1.04,0
"157",3,2,0,0,0,0,0,2.08,0
"158",4,2,0,0,0,0,0,5.2,0
"159",5,2,0,0,0,0,0,10.4,0
"160",6,2,0,0,0,0,0,20.8,0
"161",7,2,0,0,0,0,0,41.6,0
"162",1,2,0,0,0,0,0,0.52,0
"163",2,2,0,0,0,0,0,1.04,0
"164",3,2,0,0,0,0,0,2.08,0
"165",4,2,0,0,0,0,0,5.2,0
"166",5,2,0,0,0,0,0,10.4,0
"167",6,2,0,0,0,0,0,20.8,0
"168",7,2,0,0,0,0,0,41.6,0
"169",1,2,0,0,0,0,0,0.52,0
"170",2,2,0,0,0,0,0,1.04,0
"171",3,2,0,0,0,0,0,2.08,0
"172",4,2,0,0,0,0,0,5.2,0
"173",5,2,0,0,0,0,0,10.4,0
"174",6,2,0,0,0,0,0,20.8,0
"175",7,2,0,0,0,0,0,41.6,0
"176",1,2,0,0,0,0,0,0.52,0
"177",2,2,0,0,0,0,0,1.04,0
"178",3,2,0,0,0,0,0,2.08,0
"179",4,2,0,0,0,0,0,5.2,0
"180",5,2,0,0,0,0,0,10.4,0
"181",6,2,0,0,0,0,0,20.8,0
"182",7,2,0,0,0,0,0,41.6,0
"183",1,2,0,0,0,0,0,0.52,0
"184",2,2,0,0,0,0,0,1.04,0
"185",3,2,0,0,0,0,0,2.08,0
"186",4,2,0,0,0,0,0,5.2,0
"187",5,2,0,0,0,0,0,10.4,0
"188",6,2,0,0,0,0,0,20.8,0
"189",7,2,0,0,0,0,0,41.6,0
"190",1,2,0,0,0,0,0,0.52,0
"191",2,2,0,0,0,0,0,1.04,0
"192",3,2,0,0,0,0,0,2.08,0
"193",4,2,0,0,0,0,0,5.2,0
"194",5,2,0,0,0,0,0,10.4,0
"195",6,2,0,0,0,0,0,20.8,0
"196",7,2,0,0,0,0,0,41.6,0
"197",1,2,0,0,0,0,0,0.52,0
"198",2,2,0,0,0,0,0,1.04,0
"199",3,2,0,0,0,0,0,2.08,0
"200",4,2,0,0,0,0,0,5.2,0
"201",5,2,0,0,0,0,0,10.4,0
"202",6,2,0,0,0,0,0,20.8,0
"203",7,2,0,0,0,0,0,41.6,0
"204",1,2,0,0,0,0,0,0.52,0
"205",2,2,0,0,0,0,0,1.04,0
"206",3,2,0,0,0,0,0,2.08,0
"207",4,2,0,0,0,0,0,5.2,0
"208",5,2,0,0,0,0,0,10.4,0
"209",6,2,0,0,0,0,0,20.8,0
"210",7,2,0,0,0,0,0,41.6,0
"211",1,3,0,0,0,0,0,0.52,0
"212",2,3,0,0,0,0,0,1.04,0
"213",3,3,0,0,0,0,0,2.08,0
"214",4,3,0,0,0,0,0,5.2,0
"215",5,3,0,0,0,0,0,10.4,0
"216",6,3,0,0,0,0,0,20.8,0
"217",7,3,0,0,0,0,0,41.6,0
"218",1,3,0,0,0,0,0,0.52,0
"219",2,3,0,0,0,0,0,1.04,0
"220",3,3,0,0,0,0,0,2.08,0
"221",4,3,0,0,0,0,0,5.2,0
"222",5,3,0,0,0,0,0,10.4,0
"223",6,3,0,0,0,0,0,20.8,0
"224",7,3,0,0,0,0,0,41.6,0
"225",1,3,0,0,0,0,0,0.52,0
"226",2,3,0,0,0,0,0,1.04,0
"227",3,3,0,0,0,0,0,2.08,0
"228",4,3,0,0,0,0,0,5.2,0
"229",5,3,0,0,0,0,0,10.4,0
"230",6,3,0,0,0,0,0,20.8,0
