,no,id,l1,l2,l3,l4,l5,slope,pow
1,1,1,37,40,53,61,19,0.0432,0.04
2,2,1,37,40,53,61,19,0.0864,0.04
3,3,1,37,40,53,61,19,0.1728,0.04
4,4,1,37,40,53,61,19,0.3456,0.06
5,5,1,37,40,53,61,19,0.6912,0.09
6,6,1,37,40,53,61,19,1.3824,0.2
7,7,1,37,40,53,61,19,2.7648,0.78
8,8,1,37,40,53,61,19,5.5296,0.96
9,9,1,37,40,53,61,19,11.0592,0.97
10,10,1,37,40,53,61,19,22.1184,0.97
11,11,1,37,40,53,61,19,44.2368,0.96
12,1,1,15,50,11,27,25,0.0432,0.04
13,2,1,15,50,11,27,25,0.0864,0.04
14,3,1,15,50,11,27,25,0.1728,0.04
15,4,1,15,50,11,27,25,0.3456,0.04
16,5,1,15,50,11,27,25,0.6912,0.07
17,6,1,15,50,11,27,25,1.3824,0.22
18,7,1,15,50,11,27,25,2.7648,0.59
19,8,1,15,50,11,27,25,5.5296,0.91
20,9,1,15,50,11,27,25,11.0592,0.92
21,10,1,15,50,11,27,25,22.1184,0.9
22,11,1,15,50,11,27,25,44.2368,0.91
23,1,1,50,57,47,35,61,0.0432,0.01
24,2,1,50,57,47,35,61,0.0864,0.02
25,3,1,50,57,47,35,61,0.1728,0.03
26,4,1,50,57,47,35,61,0.3456,0.09
27,5,1,50,57,47,35,61,0.6912,0.17
28,6,1,50,57,47,35,61,1.3824,0.39
29,7,1,50,57,47,35,61,2.7648,0.9
30,8,1,50,57,47,35,61,5.5296,0.95
31,9,1,50,57,47,35,61,11.0592,0.95
32,10,1,50,57,47,35,61,22.1184,0.96
33,11,1,50,57,47,35,61,44.2368,0.97
34,1,1,46,35,64,32,47,0.0432,0.03
35,2,1,46,35,64,32,47,0.0864,0.03
36,3,1,46,35,64,32,47,0.1728,0.03
37,4,1,46,35,64,32,47,0.3456,0.03
38,5,1,46,35,64,32,47,0.6912,0.06
39,6,1,46,35,64,32,47,1.3824,0.22
40,7,1,46,35,64,32,47,2.7648,0.72
41,8,1,46,35,64,32,47,5.5296,0.97
42,9,1,46,35,64,32,47,11.0592,0.97
43,10,1,46,35,64,32,47,22.1184,0.98
44,11,1,46,35,64,32,47,44.2368,0.98
45,1,1,54,58,14,39,50,0.0432,0.1
46,2,1,54,58,14,39,50,0.0864,0.1
47,3,1,54,58,14,39,50,0.1728,0.11
48,4,1,54,58,14,39,50,0.3456,0.12
49,5,1,54,58,14,39,50,0.6912,0.15
50,6,1,54,58,14,39,50,1.3824,0.35
51,7,1,54,58,14,39,50,2.7648,0.87
52,8,1,54,58,14,39,50,5.5296,0.96
53,9,1,54,58,14,39,50,11.0592,0.95
54,10,1,54,58,14,39,50,22.1184,0.96
55,11,1,54,58,14,39,50,44.2368,0.95
56,1,1,14,62,47,39,38,0.0432,0.13
57,2,1,14,62,47,39,38,0.0864,0.13
58,3,1,14,62,47,39,38,0.1728,0.14
59,4,1,14,62,47,39,38,0.3456,0.15
60,5,1,14,62,47,39,38,0.6912,0.16
61,6,1,14,62,47,39,38,1.3824,0.37
62,7,1,14,62,47,39,38,2.7648,0.87
63,8,1,14,62,47,39,38,5.5296,0.91
64,9,1,14,62,47,39,38,11.0592,0.94
65,10,1,14,62,47,39,38,22.1184,0.96
66,11,1,14,62,47,39,38,44.2368,0.94
67,1,1,53,46,32,33,14,0.0432,0.06
68,2,1,53,46,32,33,14,0.0864,0.05
69,3,1,53,46,32,33,14,0.1728,0.05
70,4,1,53,46,32,33,14,0.3456,0.07
71,5,1,53,46,32,33,14,0.6912,0.14
72,6,1,53,46,32,33,14,1.3824,0.27
73,7,1,53,46,32,33,14,2.7648,0.86
74,8,1,53,46,32,33,14,5.5296,0.99
75,9,1,53,46,32,33,14,11.0592,0.99
76,10,1,53,46,32,33,14,22.1184,0.99
77,11,1,53,46,32,33,14,44.2368,0.99
78,1,1,24,12,42,64,47,0.0432,0.04
79,2,1,24,12,42,64,47,0.0864,0.05
80,3,1,24,12,42,64,47,0.1728,0.05
81,4,1,24,12,42,64,47,0.3456,0.06
82,5,1,24,12,42,64,47,0.6912,0.07
83,6,1,24,12,42,64,47,1.3824,0.24
84,7,1,24,12,42,64,47,2.7648,0.59
85,8,1,24,12,42,64,47,5.5296,0.84
86,9,1,24,12,42,64,47,11.0592,0.93
87,10,1,24,12,42,64,47,22.1184,0.93
88,11,1,24,12,42,64,47,44.2368,0.94
89,1,1,63,32,59,25,24,0.0432,0.06
90,2,1,63,32,59,25,24,0.0864,0.06
91,3,1,63,32,59,25,24,0.1728,0.07
92,4,1,63,32,59,25,24,0.3456,0.07
93,5,1,63,32,59,25,24,0.6912,0.09
94,6,1,63,32,59,25,24,1.3824,0.23
95,7,1,63,32,59,25,24,2.7648,0.58
96,8,1,63,32,59,25,24,5.5296,0.93
97,9,1,63,32,59,25,24,11.0592,0.98
98,10,1,63,32,59,25,24,22.1184,0.99
99,11,1,63,32,59,25,24,44.2368,0.98
100,1,1,21,34,24,31,27,0.0432,0.06
101,2,1,21,34,24,31,27,0.0864,0.06
102,3,1,21,34,24,31,27,0.1728,0.06
103,4,1,21,34,24,31,27,0.3456,0.07
104,5,1,21,34,24,31,27,0.6912,0.1
105,6,1,21,34,24,31,27,1.3824,0.13
106,7,1,21,34,24,31,27,2.7648,0.27
107,8,1,21,34,24,31,27,5.5296,0.65
108,9,1,21,34,24,31,27,11.0592,0.89
109,10,1,21,34,24,31,27,22.1184,0.89
110,11,1,21,34,24,31,27,44.2368,0.9
111,1,1,51,64,13,35,50,0.0432,0.04
112,2,1,51,64,13,35,50,0.0864,0.04
113,3,1,51,64,13,35,50,0.1728,0.04
114,4,1,51,64,13,35,50,0.3456,0.05
115,5,1,51,64,13,35,50,0.6912,0.09
116,6,1,51,64,13,35,50,1.3824,0.37
117,7,1,51,64,13,35,50,2.7648,0.86
118,8,1,51,64,13,35,50,5.5296,0.95
119,9,1,51,64,13,35,50,11.0592,0.95
120,10,1,51,64,13,35,50,22.1184,0.96
121,11,1,51,64,13,35,50,44.2368,0.96
122,1,1,50,17,16,48,27,0.0432,0.08
123,2,1,50,17,16,48,27,0.0864,0.09
124,3,1,50,17,16,48,27,0.1728,0.09
125,4,1,50,17,16,48,27,0.3456,0.11
126,5,1,50,17,16,48,27,0.6912,0.13
127,6,1,50,17,16,48,27,1.3824,0.26
128,7,1,50,17,16,48,27,2.7648,0.7
129,8,1,50,17,16,48,27,5.5296,1
130,9,1,50,17,16,48,27,11.0592,1
131,10,1,50,17,16,48,27,22.1184,1
132,11,1,50,17,16,48,27,44.2368,0.99
133,1,1,62,35,19,53,39,0.0432,0.08
134,2,1,62,35,19,53,39,0.0864,0.09
135,3,1,62,35,19,53,39,0.1728,0.09
136,4,1,62,35,19,53,39,0.3456,0.13
137,5,1,62,35,19,53,39,0.6912,0.18
138,6,1,62,35,19,53,39,1.3824,0.3
139,7,1,62,35,19,53,39,2.7648,0.87
140,8,1,62,35,19,53,39,5.5296,0.94
141,9,1,62,35,19,53,39,11.0592,0.97
142,10,1,62,35,19,53,39,22.1184,0.96
143,11,1,62,35,19,53,39,44.2368,0.95
144,1,1,52,30,27,56,31,0.0432,0.01
145,2,1,52,30,27,56,31,0.0864,0.01
146,3,1,52,30,27,56,31,0.1728,0.01
147,4,1,52,30,27,56,31,0.3456,0.03
148,5,1,52,30,27,56,31,0.6912,0.06
149,6,1,52,30,27,56,31,1.3824,0.14
150,7,1,52,30,27,56,31,2.7648,0.41
151,8,1,52,30,27,56,31,5.5296,0.74
152,9,1,52,30,27,56,31,11.0592,0.9
153,10,1,52,30,27,56,31,22.1184,0.92
154,11,1,52,30,27,56,31,44.2368,0.91
155,1,1,32,35,52,22,37,0.0432,0.11
156,2,1,32,35,52,22,37,0.0864,0.11
157,3,1,32,35,52,22,37,0.1728,0.11
158,4,1,32,35,52,22,37,0.3456,0.12
159,5,1,32,35,52,22,37,0.6912,0.18
160,6,1,32,35,52,22,37,1.3824,0.36
161,7,1,32,35,52,22,37,2.7648,0.74
162,8,1,32,35,52,22,37,5.5296,0.89
163,9,1,32,35,52,22,37,11.0592,0.94
164,10,1,32,35,52,22,37,22.1184,0.95
165,11,1,32,35,52,22,37,44.2368,0.94
166,1,2,13,19,31,37,52,0.0432,0.03
167,2,2,13,19,31,37,52,0.0864,0.05
168,3,2,13,19,31,37,52,0.1728,0.08
169,4,2,13,19,31,37,52,0.3456,0.12
170,5,2,13,19,31,37,52,0.6912,0.34
171,6,2,13,19,31,37,52,1.3824,0.86
172,7,2,13,19,31,37,52,2.7648,1
173,8,2,13,19,31,37,52,5.5296,1
174,9,2,13,19,31,37,52,11.0592,1
175,10,2,13,19,31,37,52,22.1184,1
176,11,2,13,19,31,37,52,44.2368,1
177,1,2,35,48,39,30,47,0.0432,0.07
178,2,2,35,48,39,30,47,0.0864,0.07
179,3,2,35,48,39,30,47,0.1728,0.09
180,4,2,35,48,39,30,47,0.3456,0.11
181,5,2,35,48,39,30,47,0.6912,0.28
182,6,2,35,48,39,30,47,1.3824,0.75
183,7,2,35,48,39,30,47,2.7648,1
184,8,2,35,48,39,30,47,5.5296,1
185,9,2,35,48,39,30,47,11.0592,1
186,10,2,35,48,39,30,47,22.1184,1
187,11,2,35,48,39,30,47,44.2368,1
188,1,2,58,14,46,26,39,0.0432,0.06
189,2,2,58,14,46,26,39,0.0864,0.06
190,3,2,58,14,46,26,39,0.1728,0.07
191,4,2,58,14,46,26,39,0.3456,0.11
192,5,2,58,14,46,26,39,0.6912,0.31
193,6,2,58,14,46,26,39,1.3824,0.8
194,7,2,58,14,46,26,39,2.7648,1
195,8,2,58,14,46,26,39,5.5296,1
196,9,2,58,14,46,26,39,11.0592,1
197,10,2,58,14,46,26,39,22.1184,1
198,11,2,58,14,46,26,39,44.2368,1
199,1,2,58,34,48,61,60,0.0432,0.01
200,2,2,58,34,48,61,60,0.0864,0.03
201,3,2,58,34,48,61,60,0.1728,0.03
202,4,2,58,34,48,61,60,0.3456,0.08
203,5,2,58,34,48,61,60,0.6912,0.51
204,6,2,58,34,48,61,60,1.3824,0.96
205,7,2,58,34,48,61,60,2.7648,1
206,8,2,58,34,48,61,60,5.5296,1
207,9,2,58,34,48,61,60,11.0592,1
208,10,2,58,34,48,61,60,22.1184,1
209,11,2,58,34,48,61,60,44.2368,1
210,1,2,13,41,46,62,55,0.0432,0.05
211,2,2,13,41,46,62,55,0.0864,0.07
212,3,2,13,41,46,62,55,0.1728,0.07
213,4,2,13,41,46,62,55,0.3456,0.1
214,5,2,13,41,46,62,55,0.6912,0.19
215,6,2,13,41,46,62,55,1.3824,0.5
216,7,2,13,41,46,62,55,2.7648,0.99
217,8,2,13,41,46,62,55,5.5296,1
218,9,2,13,41,46,62,55,11.0592,1
219,10,2,13,41,46,62,55,22.1184,1
220,11,2,13,41,46,62,55,44.2368,1
221,1,2,61,38,14,49,33,0.0432,0.03
222,2,2,61,38,14,49,33,0.0864,0.03
223,3,2,61,38,14,49,33,0.1728,0.03
224,4,2,61,38,14,49,33,0.3456,0.05
225,5,2,61,38,14,49,33,0.6912,0.14
226,6,2,61,38,14,49,33,1.3824,0.63
227,7,2,61,38,14,49,33,2.7648,1
228,8,2,61,38,14,49,33,5.5296,1
229,9,2,61,38,14,49,33,11.0592,1
230,10,2,61,38,14,49,33,22.1184,1
231,11,2,61,38,14,49,33,44.2368,1
232,1,2,35,48,37,52,58,0.0432,0.03
233,2,2,35,48,37,52,58,0.0864,0.03
234,3,2,35,48,37,52,58,0.1728,0.06
235,4,2,35,48,37,52,58,0.3456,0.14
236,5,2,35,48,37,52,58,0.6912,0.39
237,6,2,35,48,37,52,58,1.3824,1
238,7,2,35,48,37,52,58,2.7648,1
