,no,id,l1,l2,l3,l4,l5,slope,pow
1,1,1,37,40,53,61,19,0.0432,0.04
2,2,1,37,40,53,61,19,0.0864,0.04
3,3,1,37,40,53,61,19,0.1728,0.04
4,4,1,37,40,53,61,19,0.3456,0.04
5,5,1,37,40,53,61,19,0.6912,0.05
6,6,1,37,40,53,61,19,1.3824,0.07
7,7,1,37,40,53,61,19,2.7648,0.12
8,8,1,37,40,53,61,19,5.5296,0.28
9,9,1,37,40,53,61,19,11.0592,0.65
10,10,1,37,40,53,61,19,22.1184,0.87
11,11,1,37,40,53,61,19,44.2368,0.93
12,1,1,47,16,13,56,12,0.0432,0.08
13,2,1,47,16,13,56,12,0.0864,0.08
14,3,1,47,16,13,56,12,0.1728,0.08
15,4,1,47,16,13,56,12,0.3456,0.09
16,5,1,47,16,13,56,12,0.6912,0.1
17,6,1,47,16,13,56,12,1.3824,0.12
18,7,1,47,16,13,56,12,2.7648,0.19
19,8,1,47,16,13,56,12,5.5296,0.35
20,9,1,47,16,13,56,12,11.0592,0.69
21,10,1,47,16,13,56,12,22.1184,0.82
22,11,1,47,16,13,56,12,44.2368,0.87
23,1,1,17,33,60,38,63,0.0432,0.05
24,2,1,17,33,60,38,63,0.0864,0.05
25,3,1,17,33,60,38,63,0.1728,0.05
26,4,1,17,33,60,38,63,0.3456,0.05
27,5,1,17,33,60,38,63,0.6912,0.05
28,6,1,17,33,60,38,63,1.3824,0.06
29,7,1,17,33,60,38,63,2.7648,0.14
30,8,1,17,33,60,38,63,5.5296,0.34
31,9,1,17,33,60,38,63,11.0592,0.75
32,10,1,17,33,60,38,63,22.1184,0.95
33,11,1,17,33,60,38,63,44.2368,0.97
34,1,1,20,14,29,60,31,0.0432,0.08
35,2,1,20,14,29,60,31,0.0864,0.08
36,3,1,20,14,29,60,31,0.1728,0.08
37,4,1,20,14,29,60,31,0.3456,0.08
38,5,1,20,14,29,60,31,0.6912,0.1
39,6,1,20,14,29,60,31,1.3824,0.11
40,7,1,20,14,29,60,31,2.7648,0.14
41,8,1,20,14,29,60,31,5.5296,0.18
42,9,1,20,14,29,60,31,11.0592,0.38
43,10,1,20,14,29,60,31,22.1184,0.63
44,11,1,20,14,29,60,31,44.2368,0.84
45,1,1,44,53,52,35,59,0.0432,0.06
46,2,1,44,53,52,35,59,0.0864,0.06
47,3,1,44,53,52,35,59,0.1728,0.07
48,4,1,44,53,52,35,59,0.3456,0.07
49,5,1,44,53,52,35,59,0.6912,0.09
50,6,1,44,53,52,35,59,1.3824,0.12
51,7,1,44,53,52,35,59,2.7648,0.19
52,8,1,44,53,52,35,59,5.5296,0.34
53,9,1,44,53,52,35,59,11.0592,0.75
54,10,1,44,53,52,35,59,22.1184,0.94
55,11,1,44,53,52,35,59,44.2368,0.95
56,1,1,13,48,33,35,24,0.0432,0.07
57,2,1,13,48,33,35,24,0.0864,0.07
58,3,1,13,48,33,35,24,0.1728,0.07
59,4,1,13,48,33,35,24,0.3456,0.08
60,5,1,13,48,33,35,24,0.6912,0.09
61,6,1,13,48,33,35,24,1.3824,0.1
62,7,1,13,48,33,35,24,2.7648,0.17
63,8,1,13,48,33,35,24,5.5296,0.32
64,9,1,13,48,33,35,24,11.0592,0.58
65,10,1,13,48,33,35,24,22.1184,0.85
66,11,1,13,48,33,35,24,44.2368,0.91
67,1,1,39,34,62,57,43,0.0432,0.05
68,2,1,39,34,62,57,43,0.0864,0.05
69,3,1,39,34,62,57,43,0.1728,0.05
70,4,1,39,34,62,57,43,0.3456,0.05
71,5,1,39,34,62,57,43,0.6912,0.06
72,6,1,39,34,62,57,43,1.3824,0.08
73,7,1,39,34,62,57,43,2.7648,0.17
74,8,1,39,34,62,57,43,5.5296,0.36
75,9,1,39,34,62,57,43,11.0592,0.79
76,10,1,39,34,62,57,43,22.1184,0.9
77,11,1,39,34,62,57,43,44.2368,0.9
78,1,1,28,56,47,49,38,0.0432,0.05
79,2,1,28,56,47,49,38,0.0864,0.05
80,3,1,28,56,47,49,38,0.1728,0.05
81,4,1,28,56,47,49,38,0.3456,0.05
82,5,1,28,56,47,49,38,0.6912,0.06
83,6,1,28,56,47,49,38,1.3824,0.1
84,7,1,28,56,47,49,38,2.7648,0.17
85,8,1,28,56,47,49,38,5.5296,0.38
86,9,1,28,56,47,49,38,11.0592,0.77
87,10,1,28,56,47,49,38,22.1184,0.9
88,11,1,28,56,47,49,38,44.2368,0.92
89,1,1,24,32,34,35,56,0.0432,0.05
90,2,1,24,32,34,35,56,0.0864,0.05
91,3,1,24,32,34,35,56,0.1728,0.05
92,4,1,24,32,34,35,56,0.3456,0.05
93,5,1,24,32,34,35,56,0.6912,0.06
94,6,1,24,32,34,35,56,1.3824,0.07
95,7,1,24,32,34,35,56,2.7648,0.12
96,8,1,24,32,34,35,56,5.5296,0.28
97,9,1,24,32,34,35,56,11.0592,0.67
98,10,1,24,32,34,35,56,22.1184,0.86
99,11,1,24,32,34,35,56,44.2368,0.9
100,1,1,50,59,64,14,61,0.0432,0.03
101,2,1,50,59,64,14,61,0.0864,0.04
102,3,1,50,59,64,14,61,0.1728,0.04
103,4,1,50,59,64,14,61,0.3456,0.04
104,5,1,50,59,64,14,61,0.6912,0.04
105,6,1,50,59,64,14,61,1.3824,0.07
106,7,1,50,59,64,14,61,2.7648,0.1
107,8,1,50,59,64,14,61,5.5296,0.21
108,9,1,50,59,64,14,61,11.0592,0.55
109,10,1,50,59,64,14,61,22.1184,0.84
110,11,1,50,59,64,14,61,44.2368,0.88
111,1,1,48,57,15,55,21,0.0432,0.08
112,2,1,48,57,15,55,21,0.0864,0.08
113,3,1,48,57,15,55,21,0.1728,0.08
114,4,1,48,57,15,55,21,0.3456,0.08
115,5,1,48,57,15,55,21,0.6912,0.09
116,6,1,48,57,15,55,21,1.3824,0.1
117,7,1,48,57,15,55,21,2.7648,0.15
118,8,1,48,57,15,55,21,5.5296,0.25
119,9,1,48,57,15,55,21,11.0592,0.53
120,10,1,48,57,15,55,21,22.1184,0.79
121,11,1,48,57,15,55,21,44.2368,0.85
122,1,1,19,39,37,42,21,0.0432,0.09
123,2,1,19,39,37,42,21,0.0864,0.09
124,3,1,19,39,37,42,21,0.1728,0.09
125,4,1,19,39,37,42,21,0.3456,0.09
126,5,1,19,39,37,42,21,0.6912,0.1
127,6,1,19,39,37,42,21,1.3824,0.11
128,7,1,19,39,37,42,21,2.7648,0.14
129,8,1,19,39,37,42,21,5.5296,0.29
130,9,1,19,39,37,42,21,11.0592,0.63
131,10,1,19,39,37,42,21,22.1184,0.86
132,11,1,19,39,37,42,21,44.2368,0.92
133,1,1,60,27,47,30,64,0.0432,0.04
134,2,1,60,27,47,30,64,0.0864,0.05
135,3,1,60,27,47,30,64,0.1728,0.05
136,4,1,60,27,47,30,64,0.3456,0.05
137,5,1,60,27,47,30,64,0.6912,0.05
138,6,1,60,27,47,30,64,1.3824,0.07
139,7,1,60,27,47,30,64,2.7648,0.12
140,8,1,60,27,47,30,64,5.5296,0.19
141,9,1,60,27,47,30,64,11.0592,0.53
142,10,1,60,27,47,30,64,22.1184,0.77
143,11,1,60,27,47,30,64,44.2368,0.9
144,1,1,37,39,60,33,14,0.0432,0.04
145,2,1,37,39,60,33,14,0.0864,0.04
146,3,1,37,39,60,33,14,0.1728,0.04
147,4,1,37,39,60,33,14,0.3456,0.05
148,5,1,37,39,60,33,14,0.6912,0.06
149,6,1,37,39,60,33,14,1.3824,0.07
150,7,1,37,39,60,33,14,2.7648,0.13
151,8,1,37,39,60,33,14,5.5296,0.29
152,9,1,37,39,60,33,14,11.0592,0.82
153,10,1,37,39,60,33,14,22.1184,0.95
154,11,1,37,39,60,33,14,44.2368,0.98
155,1,1,58,46,55,15,31,0.0432,0.07
156,2,1,58,46,55,15,31,0.0864,0.07
157,3,1,58,46,55,15,31,0.1728,0.07
158,4,1,58,46,55,15,31,0.3456,0.07
159,5,1,58,46,55,15,31,0.6912,0.07
160,6,1,58,46,55,15,31,1.3824,0.08
161,7,1,58,46,55,15,31,2.7648,0.11
162,8,1,58,46,55,15,31,5.5296,0.22
163,9,1,58,46,55,15,31,11.0592,0.44
164,10,1,58,46,55,15,31,22.1184,0.7
165,11,1,58,46,55,15,31,44.2368,0.79
166,1,2,0,0,0,0,0,0.0432,0
167,2,2,0,0,0,0,0,0.0864,0
168,3,2,0,0,0,0,0,0.1728,0
169,4,2,0,0,0,0,0,0.3456,0
170,5,2,0,0,0,0,0,0.6912,0
171,6,2,0,0,0,0,0,1.3824,0
172,7,2,0,0,0,0,0,2.7648,0
173,8,2,0,0,0,0,0,5.5296,0
174,9,2,0,0,0,0,0,11.0592,0
175,10,2,0,0,0,0,0,22.1184,0
176,11,2,0,0,0,0,0,44.2368,0
177,1,2,0,0,0,0,0,0.0432,0
178,2,2,0,0,0,0,0,0.0864,0
179,3,2,0,0,0,0,0,0.1728,0
180,4,2,0,0,0,0,0,0.3456,0
181,5,2,0,0,0,0,0,0.6912,0
182,6,2,0,0,0,0,0,1.3824,0
183,7,2,0,0,0,0,0,2.7648,0
184,8,2,0,0,0,0,0,5.5296,0
185,9,2,0,0,0,0,0,11.0592,0
186,10,2,0,0,0,0,0,22.1184,0
187,11,2,0,0,0,0,0,44.2368,0
188,1,2,0,0,0,0,0,0.0432,0
189,2,2,0,0,0,0,0,0.0864,0
190,3,2,0,0,0,0,0,0.1728,0
191,4,2,0,0,0,0,0,0.3456,0
192,5,2,0,0,0,0,0,0.6912,0
193,6,2,0,0,0,0,0,1.3824,0
194,7,2,0,0,0,0,0,2.7648,0
195,8,2,0,0,0,0,0,5.5296,0
196,9,2,0,0,0,0,0,11.0592,0
197,10,2,0,0,0,0,0,22.1184,0
198,11,2,0,0,0,0,0,44.2368,0
199,1,2,0,0,0,0,0,0.0432,0
200,2,2,0,0,0,0,0,0.0864,0
201,3,2,0,0,0,0,0,0.1728,0
202,4,2,0,0,0,0,0,0.3456,0
203,5,2,0,0,0,0,0,0.6912,0
204,6,2,0,0,0,0,0,1.3824,0
205,7,2,0,0,0,0,0,2.7648,0
206,8,2,0,0,0,0,0,5.5296,0
207,9,2,0,0,0,0,0,11.0592,0
208,10,2,0,0,0,0,0,22.1184,0
209,11,2,0,0,0,0,0,44.2368,0
210,1,2,0,0,0,0,0,0.0432,0
211,2,2,0,0,0,0,0,0.0864,0
212,3,2,0,0,0,0,0,0.1728,0
213,4,2,0,0,0,0,0,0.3456,0
214,5,2,0,0,0,0,0,0.6912,0
215,6,2,0,0,0,0,0,1.3824,0
216,7,2,0,0,0,0,0,2.7648,0
217,8,2,0,0,0,0,0,5.5296,0
218,9,2,0,0,0,0,0,11.0592,0
219,10,2,0,0,0,0,0,22.1184,0
220,11,2,0,0,0,0,0,44.2368,0
221,1,2,0,0,0,0,0,0.0432,0
222,2,2,0,0,0,0,0,0.0864,0
223,3,2,0,0,0,0,0,0.1728,0
224,4,2,0,0,0,0,0,0.3456,0
225,5,2,0,0,0,0,0,0.6912,0
226,6,2,0,0,0,0,0,1.3824,0
227,7,2,0,0,0,0,0,2.7648,0
228,8,2,0,0,0,0,0,5.5296,0
229,9,2,0,0,0,0,0,11.0592,0
230,10,2,0,0,0,0,0,22.1184,0
231,11,2,0,0,0,0,0,44.2368,0
232,1,2,0,0,0,0,0,0.0432,0
233,2,2,0,0,0,0,0,0.0864,0
234,3,2,0,0,0,0,0,0.1728,0
235,4,2,0,0,0,0,0,0.3456,0
236,5,2,0,0,0,0,0,0.6912,0
237,6,2,0,0,0,0,0,1.3824,0
238,7,2,0,0,0,0,0,2.7648,0
239,8,2,0,0,0,0,0,5.5296,0
240,9,2,0,0,0,0,0,11.0592,0
241,10,2,0,0,0,0,0,22.1184,0
